coin,score,news_sent,general_sent,focus_sent,flow_z,mentions_z,twitter_sent,confidence,evidence,mode
6BFPDDF7VDKFDZEPJWZVENZGIGZS1DJMZJHKTJITPUMP,0.0364,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5,3,static-weights
BTC,0.0208,0.0,0.0,0.0,0.0,0.0,0.41666666666666674,0.5,3,static-weights
6N3VFO3KE4XUMEKJOCCVUWFAVMV5GMDCMYZ1NES48R13,-0.0071,0.0,0.0,0.0,0.0,0.0,-0.1428571428571429,0.5,3,static-weights
7YWTZFJQAKFRQUWA57QWT5QCS3NKMMMXWXW95KCSGP8D,-0.01,0.0,0.0,0.0,0.0,0.0,-0.19999999999999996,0.5,3,static-weights
